rank,asset,weight,1d_weight,4h_weight,1h_weight,15m_weight,1m_weight
65,BAN,0.003923225007408739,0.007952509568253257,0.002386043992759554,0.0013355713290256162,0.001085558503043895,0.006856441643961374
66,SPCX,0.003820970801258434,0,0,0.01910485400629217,0,0
67,GUA,0.0038062103304046845,0,0.01651922107370381,0,0.0016980822737239962,0.0008137483045956149
68,SOON,0.003774614812202065,0.018873074061010325,0,0,0,0
69,AIOT,0.003745165037523945,0.011080929047094438,0.0023468235032955893,0.0025618783410706423,0.0017278867578112672,0.0010083075383477877
70,NOW,0.0036785276462524383,0,0,0,0.0007865041735737071,0.017606134057688485
71,BAS,0.0036667366853486137,0,0.00708493281719323,0.003179509488688698,0.0019159987097412947,0.006153242411119843
72,PUMP,0.0035672785056267134,0,0,0.009108130822616764,0.008728261705516802,0
73,TA,0.0035469553198959943,0.0115243900451875,0.0020854756497763077,0.001096277213604425,0.0014421987178968203,0.0015864349730149174
74,XLM,0.0035077999860528668,0,0.017538999930264334,0,0,0
75,KAITO,0.0034829801138644197,0.0057791511200408294,0.0016277905891736812,0.004402813828423343,0.003990500954823145,0.0016146440768610988
76,XPIN,0.003386147689329765,0,0.0023349333540540478,0.008065267309686795,0.0024505165730023485,0.004080021209905634
77,HOME,0.0033326730523179247,0.0037792063537127794,0.0034904091936295728,0.004336066496149981,0.005057683218097289,0
78,TAC,0.0033076017809179218,0.004578316453272216,0.003764477608088299,0,0.0038449720800886847,0.004350242763140409
79,ERA,0.0032559729204873974,0,0.0003094250083619458,0.0004845451945769419,0.008760067139001473,0.0067258272604966245
80,O,0.003237554331743913,0,0,0.009107573518276527,0.004041540088207964,0.0030386580522350705
81,AGT,0.003139085905656051,0.008630038019562296,0.003262779094265153,0.001596610885854932,0.0022060015285978703,0
82,RAVE,0.003060796616184713,0,0,0.007751798059115086,0,0.007552185021808478
83,FHE,0.0030203060215267773,0.012447792764019763,0,0,0.0010219406903355,0.0016317966532786202
84,NIGHT,0.0029609118972810226,0,0.0017517374815283894,0.0010218200672305884,0.008607412031373598,0.003423589906272536
85,GRAM,0.0029166360660664884,0,0,0.00738259689263011,0,0.007200583437702332
86,BLUAI,0.002852948175258687,0,0.00385107269575731,0.007124404149868324,0.0032892640306677995,0
87,SWARMS,0.0028329665162617887,0.010878138849126449,0.0022432322686741224,0,0.0010434614635083724,0
88,CAP,0.0028239749016065654,0,0,0.010489210202717869,0.003630664305314956,0
89,JST,0.0027982714107001845,0.005668653656691082,0.003159584574994076,0.0032031326691829946,0.0019599861526327683,0
90,ATH,0.0027613776600706047,0,0,0.0030505429437505623,0.008605423559758267,0.002150921796844193
91,KITE,0.0027403853329961638,0,0.002266535331172663,0.011435391333808156,0,0
92,ICNT,0.0026964691944558077,0.00909255075655294,0.002107119428631263,0.0016814465074060621,0,0.0006012292796887744
93,BIO,0.0026686342241420053,0.012199753570299463,0,0,0.0011434175504105642,0
94,币安人生,0.0026422754590674463,0,0.004763964937597034,0.0035508584600744677,0.003580259936425956,0.0013162939612397753
